packed_designation,a_au,Nopp
u0414,71.1887631,9
u0552,44.0667755,9
u4160,36.0794075,8
u7065,46.7098195,9
u8573,45.6767411,14
v4372,77.8715398,12
v4441,58.0880283,13
v5713,39.7111693,11
v6212,40.4211514,11
v6256,47.5945876,11
v6257,39.3900994,8
v7578,47.6712442,6
v7627,40.8301026,8
v8833,50.5219734,10
v8834,39.4625581,11
v8835,57.4662099,11
v8847,51.407383,8
v8992,39.3688204,12
v8993,39.6698195,13
v8997,42.8726424,10
v9062,42.7897225,11
v9077,41.4061817,11
v9246,39.2921993,6
w1804,47.7797237,5
w3751,47.8651271,5
w4778,77.7976268,5
w5899,84.2340848,9
w5912,32.4984009,13
w5913,38.6449428,10
w7670,42.8656438,6
w9683,49.7137174,13
x1370,37.5579124,7
x1376,40.112612,9
x1392,46.0140482,10
x1486,39.7061705,6
x2044,46.8587261,9
x2064,44.3901585,10
x2147,47.0888974,10
x2148,44.3484708,10
x2149,147.2968944,11
x2245,69.0332993,6
x2487,45.4022378,10
x3616,43.3111462,8
x3617,35.1000085,6
x4337,178.1910467,6
x4994,39.7172054,6
x7614,71.8852831,8
x9752,45.3023535,8
y0181,45.2009513,9
y0217,169.7876615,10
y1690,34.5186302,9
y2572,50.2701623,8
y2714,63.764321,9
y2715,57.7387056,6
y2716,67.7104392,9
y3108,43.7135734,12
y6187,34.7846763,4
y9221,44.1259528,13
y9222,44.3944964,8
z2019,42.7787432,7
z2026,43.8376142,10
z2029,39.513809,8
z2045,39.7970749,7
z2047,42.9087537,12
z2048,44.0207754,15
z2049,43.464896,13
z2051,48.2663963,5
z2060,39.2854413,6
z2081,45.4658466,12
z2082,43.1224623,8
z2083,45.4082262,9
z2084,87.5909641,10
z2085,46.6072075,14
z2086,41.9684132,9
z2087,43.9357379,8
z2088,39.2089719,10
z2092,42.8209247,5
z2095,38.340568,10
z2100,44.3750448,5
z2101,60.1017933,11
z2102,39.6160251,7
z2141,42.9611962,10
z2144,43.9763171,6
z2145,36.4757274,7
z2146,43.6611405,7
z2147,43.6099142,10
z2148,46.0777421,6
z2149,43.9228422,14
z2150,46.8624278,10
z2156,44.9161059,7
z2157,43.7257964,7
z2158,39.1412595,6
z2161,41.30313,9
z2166,43.3521565,10
z2167,43.5629252,12
z2174,44.5020266,8
z2175,44.364343,10
z2176,48.2434979,9
z2203,44.8928234,13
z2208,39.1836923,10
z2213,43.1073081,11
z2214,43.8472921,6
z2217,42.6466938,9
z2218,39.6762531,7
z2236,43.2901123,13
z2237,45.595595,10
z2238,44.8020113,14
z2239,46.6933669,16
z2240,44.1345216,13
z2241,39.6940366,7
z2242,44.3743869,15
z2243,30.4027172,14
z2244,44.4069116,12
z2245,58.8642366,11
z2332,39.3045379,11
z2333,44.7305585,5
z2349,41.9300024,11
z2350,55.5343963,12
z2351,39.5830935,12
z2352,39.4031076,11
z2388,43.0421849,15
z2524,47.6453521,8
z2533,39.2559223,19
z2547,39.257902,6
z2548,44.0438419,6
z2549,43.4594533,6
z2573,44.2118034,9
z2574,39.4921124,12
z2575,68.9652247,13
z2576,45.7796357,8
z2577,39.0428106,10
z2578,47.0335691,13
z2579,44.5693976,9
z2580,38.5439671,16
z2581,39.5956621,13
z2582,43.6630639,8
z2583,43.4007974,10
z2584,49.9399803,15
z2619,42.8259372,7
z2620,42.9904688,16
z2621,39.7440117,6
z2658,39.3402775,7
z2687,42.7049224,7
z2688,39.2516574,14
z2719,44.0317273,13
z2732,87.4170111,15
z2733,46.5058161,10
z2772,39.5616707,15
z2793,44.1617978,14
z2794,44.5171226,13
z2795,44.1880048,5
z2798,39.2358711,11
z2883,81.2569859,13
z2891,55.6493599,15
z2892,47.8336761,14
z2911,57.4812697,14
z2931,47.4718486,19
z2951,51.5708266,12
z2952,39.3280109,13
z2953,36.2944976,13
z2985,42.3580188,12
z3037,95.9204307,14
z3087,42.6243794,7
z3100,42.7709002,15
z3411,90.469014,13
z3412,81.2640862,9
z3468,42.5457033,13
z3469,62.5523637,10
z3490,30.1740032,16
z3619,37.9782053,12
z3620,39.485368,13
z3766,34.4000386,11
z3857,41.7576856,6
z3858,73.2197892,9
z3908,57.5331343,10
z4688,43.0775079,8
z6560,55.459019,8
z7103,50.5340316,12
J94E02S,45.5390091,6
J95D02B,46.1665717,6
J96K01V,45.4528638,5
J96R20Q,44.1103015,6
J97G45A,46.9132945,5
J97Q04H,43.0175856,5
J97R09X,41.8647912,3
J98FE4S,41.55989,6
J98HF1L,40.6641832,4
J98HF1N,37.834173,9
J98HF1O,41.2136392,5
J98K61Y,44.7141301,7
J98K65S,44.1490863,5
J98U43R,39.5279237,6
J98W24V,39.0474412,8
J98W24X,43.3672845,7
J98W31S,39.4440225,6
J98W31V,39.3898215,6
J98W31W,44.74815,7
J98W31Y,45.1137669,6
J98W31Z,39.5007786,5
J99CB8Y,89.1259334,8
J99CB8Z,115.3367059,5
J99CB9B,46.6142208,8
J99CB9C,44.5140909,9
J99CB9H,43.0905941,7
J99CB9J,45.0513443,9
J99CB9M,43.7321775,3
J99CB9N,43.4782613,7
J99CD3Q,41.0854955,10
J99CF3M,45.3973363,6
J99CF3N,43.5974541,4
J99CF4G,42.8060906,3
J99CF4H,42.7741505,5
J99CF8K,40.5914304,5
J99D00A,43.0260008,4
J99D08H,43.8253074,3
J99G46S,44.4321475,6
J99H11S,44.0034862,6
J99H12G,43.5505921,6
J99H12H,43.4524757,6
J99H12J,43.0453837,4
J99JD2D,43.197145,4
J99K18R,43.8788038,3
J99O03Z,44.3705759,6
J99O04A,44.7427894,5
J99O04C,45.8921395,3
J99O04D,41.7465892,6
J99O04G,47.362195,3
J99O04H,40.7833125,4
J99O04K,43.5125286,4
J99RL4T,42.9314323,7
J99RL4U,56.195443,5
J99RL4W,43.215846,5
J99RL4X,46.4567751,6
J99RL4Z,86.2884772,5
J99RL5B,48.0204109,5
J99RL5G,46.8256278,8
J99RL5V,44.8990137,3
J99RL5W,36.5076744,5
J99RL5X,47.3807708,6
K00AP5F,48.4055172,7
K00CA4L,44.1384356,8
K00CA4M,44.0243466,3
K00CA5K,39.2369889,8
K00CA5L,42.7676147,9
K00CB4N,43.6559476,5
K00F08B,39.1056303,4
K00F08C,43.7551375,4
K00F08H,43.3052397,5
K00F53R,44.3654065,5
K00F53S,42.9442832,5
K00F53T,45.1196687,5
K00GE6V,43.9068445,5
K00GE6X,43.9084221,5
K00GE6Y,43.7818558,4
K00J81F,46.1234517,5
K00K04L,38.6898154,6
K00O51B,38.1205281,6
K00O67H,44.5587946,7
K00O67P,44.0692788,9
K00P29U,42.8451547,4
K00P29W,44.5434714,3
K00P29X,42.952116,5
K00P29Y,44.6005256,4
K00P30A,47.4525227,4
K00P30C,43.4261577,5
K00P30D,46.9373061,7
K00P30F,77.5795128,4
K00P30G,45.4784852,5
K00P30H,78.3798858,5
K00P30L,42.3039006,4
K00P30M,44.3645746,5
K00P30N,45.2530146,4
K00QM6H,39.8692693,4
K00QM6L,44.0780022,5
K00QP1N,42.5339364,8
K00QP2L,46.3333292,3
K00SX1R,55.3433192,6
K00Sb0Y,44.0291432,5
K00W12V,43.5466013,3
K00WI3L,43.5745701,4
K00WI3M,44.9511265,4
K00WI3O,43.8260834,5
K00Y01V,43.9462667,5
K00Y01X,45.6537935,6
K00Y02A,44.1817744,5
K00Y02E,47.9966733,5
K00Y02F,45.6254957,5
K01DA6B,42.8769846,4
K01DA6C,41.9474077,11
K01DA6D,43.7387869,6
K01E24S,44.0571006,4
K01FH2U,39.2927313,4
K01FI5L,43.8331721,8
K01FI5T,47.0460898,4
K01FJ4M,53.8231128,9
K01H59A,43.7891994,3
K01K76F,44.4798828,4
K01K76G,51.5045624,4
K01K76H,46.3360516,4
K01K76L,44.5664773,4
K01K76Q,42.7484004,4
K01K76W,46.2000632,6
K01K76Y,39.5562076,4
K01K77A,47.5573516,5
K01K77E,45.5697699,4
K01K77G,62.1406199,3
K01K77O,44.0358325,6
K01OA8K,43.2766667,5
K01OA8N,43.029357,4
K01OA8Q,45.4433146,5
K01OA8Z,43.6394109,4
K01OA9G,43.865824,4
K01OA9M,69.1791224,4
K01P47K,40.0498093,7
K01QT7Q,44.7393935,4
K01QT7X,44.5265499,8
K01QT7Z,44.6768852,7
K01QT8A,46.7007373,6
K01QW2W,44.351684,5
K01RE3V,46.3916806,17
K01RE3W,43.3089936,6
K01RE3Y,42.3318677,6
K01U18N,44.5109395,6
K01U18P,48.0337273,8
K01V71N,39.4021241,6
K01XP4U,43.2321089,9
K01XP4X,43.5778076,6
K02CF4S,42.8844171,7
K02CF4T,46.4875063,6
K02CF4U,43.4865,8
K02CF4Y,44.0304653,4
K02CF4Z,43.171491,5
K02CM4X,46.2256808,5
K02CM5B,43.7632034,7
K02CO8Z,52.6842795,6
K02CP1D,42.306095,5
K02CP1E,39.1072831,6
K02F06V,46.7322227,4
K02F36W,42.6268252,5
K02F36X,43.9071386,6
K02F36Y,31.9653476,5
K02G31W,39.1390209,5
K02G32A,52.3962293,4
K02G32E,39.253444,6
K02G32L,39.3677075,4
K02G32R,39.6188828,3
K02G32S,42.2198789,6
K02G32W,35.0238098,4
K02GG6H,39.1465365,12
K02PE9O,44.3848515,6
K02PE9P,41.2309761,7
K02PE9R,45.7620455,7
K02PF0G,44.0470494,6
K02PF5D,43.5981482,5
K02PH0R,44.5757631,4
K02PH0S,44.2911198,4
K02PH0U,48.2625943,6
K02PH0X,43.0290291,5
K02PH0Y,43.382969,4
K02PH0Z,42.9229146,4
