Packed MPC designation,Semimajor axis au barycentric,Eccentricity barycentric,Inclination ecliptic J2000 barycentric degrees,Longitude of ascending node ecliptic J2000 barycentric degrees,Argument of perihelion ecliptic J2000 barycentric degrees,Mean anomaly ecliptic J2000 barycentric degrees,Epoch JD,Barycentric element source
q3644,39.44959183693266,0.2855282605623067,22.30489787481859,170.5586735426549,292.3382110155728,351.5136231662811,2459864.5,JPL Horizons via Astroquery
q3655,39.62101521821282,0.1925395003630002,9.533705721063003,12.79050294941015,120.74481983255,352.6050492688137,2459864.5,JPL Horizons via Astroquery
q3697,39.36434913297008,0.2931937555120647,16.18754665702126,137.2901728641507,22.03846499512193,41.75891057944863,2459864.5,JPL Horizons via Astroquery
q3700,39.46589458017367,0.3880458009756024,54.24974260096532,159.8811415388429,72.47583329138637,26.08587282770202,2459864.5,JPL Horizons via Astroquery
q3701,39.29017445587795,0.2409836531167057,14.4572071737177,73.51072871311756,172.7210503412684,358.9806526518872,2459864.5,JPL Horizons via Astroquery
q3703,39.58172211557266,0.2265848788190396,14.74717478310719,109.8299211118383,132.577007485532,1.748061717498008,2459864.5,JPL Horizons via Astroquery
q3704,39.42930723769546,0.2416247685365638,8.985871957607515,39.68141930073357,186.4026875428927,4.319278106055042,2459864.5,JPL Horizons via Astroquery
q3715,39.5992283071738,0.1386678036230012,6.188206699296135,61.98920113036238,102.1222365831061,55.32678109154846,2459864.5,JPL Horizons via Astroquery
q3717,39.37224165208217,0.1996828312660658,9.665830864434074,96.27667894989439,91.82074551438481,52.01207481231349,2459864.5,JPL Horizons via Astroquery
q3751,39.54866877176944,0.2256023289627097,15.2624967303376,167.1616682947489,265.936537003058,4.040194068877031,2459864.5,JPL Horizons via Astroquery
q3760,39.34032557818036,0.1415861505439601,9.814125966361626,40.66305327912868,208.6276842407009,232.7423653256998,2459864.5,JPL Horizons via Astroquery
q3764,39.48934065721394,0.2517738623561208,19.53703427019272,194.4773032344815,288.8623040715128,346.7937098986167,2459864.5,JPL Horizons via Astroquery
q3766,39.42027505234385,0.2234995322988933,26.06511587849615,197.1136682808427,197.4044809738137,24.63245326883758,2459864.5,JPL Horizons via Astroquery
q3768,39.50429467878916,0.15798721504099,22.86552353150497,334.5071595984401,17.09688874096725,155.4776389676112,2459864.5,JPL Horizons via Astroquery
